Name	Homepage	Description_short	Year	Citations	Identifiers
MEME Suite	http://meme-suite.org/	Unified portal for discovery and analysis of sequence motifs (e.g. DNA binding sites, protein interaction domains)	1994	18224	pmid:7584402,pmid:7584439,pmid:8877500,pmid:8902357,pmid:9283754,pmid:9366496,pmid:16845028,pmid:19458158
JASPAR	http://jaspar.genereg.net/	JASPAR is a high-quality, open-access database that provides manually curated, non-redundant transcription factor (TF) binding profiles for six taxonomic groups (fungi, insecta, nematoda, plantae, urochordata, vertebrata)	2022	8544	pmid:34850907,pmid:31701148,pmid:29140473,pmid:29253085,pmid:26531826,pmid:24194598,pmid:19906716,pmid:18006571,pmid:16381983,pmid:14681366
RcisTarget	http://bioconductor.org/packages/release/bioc/html/RcisTarget.html	It identifies transcription factor binding motifs (TFBS) over-represented on a gene list	2017	4807	pmid:28991892
hgv_pass	https://github.com/galaxyproject/galaxy/tree/dev/tools	A tool that detects significant transcription factor binding sites from ChIP data.	2011	2009	pmid:20823314,pmid:27137889,doi:10.7490/f1000research.1114334.1
Propred	http://webs.iiitd.edu.in/raghava/propred/	This server allows users to predict MHC class II binders.	2002	839	pmid:11751237
Consite	http://consite.genereg.net/	Detect transcription factor binding sites in genomic sequences using phylogenetic footprinting and experimentally-confirmed binding profiles.	2004	730	pmid:15215389,pmid:12760745
TALE-NT	https://boglab.plp.iastate.edu/	Transcription activator-like (TAL) Effector-Nucleotide Targeter 2.0 (TALE-NT) is a suite of web-based tools that allows for custom design of TAL effector repeat arrays for desired targets and prediction of TAL effector binding sites.	2012	559	pmid:22693217
SISSRs	http://sissrs.rajajothi.com/	Produce a list of peakmaxima from aligned positions.	2008	536	pmid:18684996
RBPmap	http://rbpmap.technion.ac.il/	RBPmap is a web server for mapping binding sites of RNA-binding proteins.	2014	515	pmid:24829458
ProMateus	http://bioportal.weizmann.ac.il/promate/	ProMateus extends ProMate, a protein binding site predictor, and allows the user to suggest new features that might improve the prediction of the binding site locations.	2004	465	pmid:15050833,pmid:17488838
Pscan	http://www.beaconlab.it/pscan	Software tool that scans a set of sequences (e.g. promoters) from co-regulated or co-expressed genes with motifs describing the binding specificity of known transcription factors and assesses which motifs are significantly over- or under-represented, providing thus hints on which transcription factors could be common regulators of the genes studied, together with the location of their candidate binding sites in the sequences	2009	404	pmid:19487240
Promoter	http://cbs.dtu.dk/services/Promoter/	Prediction of transcription start sites of vertebrate Pol II promoters in DNA sequences.	1999	368	pmid:10366655
RNABindR	http://ailab1.ist.psu.edu/RNABindR/	A server for analyzing and predicting RNA binding sites in proteins.	2007	363	pmid:17483510,pmid:16790841
