excluded_reason	id	name	description	categories	primary_category	tier	homepage	homepage_status	repo_url	repo_status	repo_origin	repo_stars	repo_pushed	repo_archived	repo_language	repo_license	tool_type	topics	languages	license	license_source	maturity	cost	registries	citations	citation_note	year	publication	citations_total	citations_papers	publication_title	publication_venue	publication_url	citations_recent	citations_recent_year	pmid	doi	publication_is_preprint	biotools_id	biotools_url	last_update	source	tags	featured
"General read aligner; kept as ""a preprocessing step for footprinting and peak calling"""	bowtie2	Bowtie 2	Bowtie 2 is an ultrafast and memory-efficient tool for aligning sequencing reads to long reference sequences		uncategorised	core	http://bowtie-bio.sourceforge.net/bowtie2/index.shtml		https://github.com/BenLangmead/bowtie2		recorded	811	2026-06-01	False	C++	GPL-3.0	Command-line tool	Mapping|Genomics|Mapping	C++	GPL-3.0		Mature			62401		2012	pmid:22388286										False	bowtie2	https://bio.tools/bowtie2	2024-11-24	bio.tools		
"General-purpose sequence analysis suite; tagged ""Sequence motif discovery"" upstream"	geneious	Geneious	Search, organize and analyze genomic and protein information of any size via desktop program that provides publication ready images to enhance the impact of your research.	motif-discovery|nucleosome-chromatin	motif-discovery	core	http://www.geneious.com										Desktop application	Phylogenetics|Sequence analysis|Genomics|Population genetics|Metagenomics|DNA structural variation|RNA-Seq|Epigenomics|Sequence assembly	Java			Mature			20987			pmid:22543367										False	geneious	https://bio.tools/geneious	2024-11-25	bio.tools		
"Differential transcript expression; tagged ""Transcriptional regulatory element prediction"" upstream"	cuffdiff	cuffdiff	Find significant changes in transcript expression, splicing, and promoter use.	regulatory-elements	regulatory-elements	core	http://cole-trapnell-lab.github.io/cufflinks/										Web application	Transcriptomics|Sequencing	C++			Mature			16639		2010	pmid:20436464										False	cuffdiff	https://bio.tools/cuffdiff	2024-11-24	bio.tools		
RNA-seq and ChIP-seq package whose paper is the 2008 RNA-seq transcriptome method; 14,401 citations for work out of scope	erange	ERANGE	ERANGE is a Python package for doing RNA-seq and ChIP-seq.	peak-calling	peak-calling	core	http://woldlab.caltech.edu/rnaseq/										Suite	ChIP-seq|RNA-Seq	Python			Mature			14401			pmid:18516045										False	erange	https://bio.tools/erange	2024-11-25	bio.tools		
Duplicate bio.tools record for WebLogo	weblogo_3	WebLogo 3	Web-based application designed to make generate sequence logos.	motif-scanning|motif-comparison	motif-scanning	core	http://weblogo.threeplusone.com										Command-line tool|Web application	Sequence analysis|Nucleic acid sites, features and motifs							13113		2004	pmid:15173120										False	weblogo_3	https://bio.tools/weblogo_3	2021-10-18	bio.tools		
Reference data repository rather than a tool; kept out to avoid inflating the ranking	ROADMAP_epigenomics	ROADMAP epigenomics	Data repository of NIH Roadmap Epigenomics Mapping Consortium containing genome-wide maps of histone modifications, chromatin accessibility, DNA methylation and mRNA expression across 100s of human cell types and tissues.	nucleosome-chromatin|histone-marks|dna-methylation	nucleosome-chromatin	core	https://egg2.wustl.edu/roadmap/web_portal/index.html										Web application	Epigenomics|Human biology		Unlicense		Mature	Free of charge		7201		2015	pmid:25693563										False	ROADMAP_epigenomics	https://bio.tools/ROADMAP_epigenomics	2020-06-16	bio.tools		
Generic differential expression for RNA-seq; admitted by a ChIP-seq text match	edger	edgeR	Differential expression analysis of RNA-seq expression profiles with biological replication	peak-calling	peak-calling	core	http://bioconductor.org/packages/release/bioc/html/edgeR.html										Command-line tool|Library	Genetics|RNA-Seq|ChIP-seq	R	GPL-2.0					5871		2012	pmid:22287627										False	edger	https://bio.tools/edger	2022-06-21	bio.tools		
Duplicate of the MEME Suite / FIMO entries	meme_fimo	meme_fimo	A software tool for scanning DNA or protein sequences with motifs described as position-specific scoring matrices.	motif-discovery|motif-scanning	motif-discovery	core	http://meme-suite.org/tools/meme										Web application	Sequence analysis|Genetic variation|Statistics and probability|Data mining				Mature			4996		2011	pmid:21330290										False	meme_fimo	https://bio.tools/meme_fimo	2024-11-25	bio.tools		
Detects CRISPR direct repeats, not regulatory elements	crisprfinder	CRISPRFinder	Detects this family of direct repeats found in the DNA of many bacteria and archaea.	motif-scanning|motif-databases|tfbs-prediction	motif-scanning	extended	https://crisprcas.i2bc.paris-saclay.fr/CrisprCasFinder/Index										Web application|Database portal	Model organisms|Transcription factors and regulatory sites|Sequence composition, complexity and repeats|DNA polymorphism|Gene expression		Unlicense		Mature	Free of charge		1924		2007	pmid:17537822										False	crisprfinder	https://bio.tools/crisprfinder	2024-11-24	bio.tools		
Transcript-level RNA-seq abundance quantification; admitted by a transcription-factor text match	express	eXpress	Streaming tool for quantifying the abundances of a set of target sequences from sampled subsequences	peak-calling	peak-calling	core	https://pachterlab.github.io/eXpress/index.html		https://github.com/adarob/eXpress-d		recorded	13	2016-01-13	False	Scala	Apache-2.0	Command-line tool	Gene expression|Metagenomics|RNA-Seq|ChIP-seq	C++	Apache-2.0		Mature	Free of charge		1859		2011	pmid:21410973										False	express	https://bio.tools/express	2024-11-24	bio.tools		
